TrialID,"Last Refreshed on","Public title","Scientific title",Acronym,"Primary sponsor","Date registration","Date registration3","Export date","Source Register","web address","Recruitment Status","other records","Inclusion agemin","Inclusion agemax","Inclusion gender","Date enrollement","Target size","Study type","Study design",Phase,Countries,"Contact Firstname","Contact Lastname","Contact Address","Contact Email","Contact Tel","Contact Affiliation","Inclusion Criteria","Exclusion Criteria",Condition,Intervention,"Primary outcome","Secondary outcome","Secondary ID","Source Name","Secondary Sponsor","Ethics Status","Ethics Approval Date","Ethics Contact Name","Ethics Contact Address","Ethics Contact Phone","Ethics Contact Email","results yes no","results date posted","results url link","results url protocol","results date completed","results date first publication","results summary","results baseline char","results adverse events","results outcome measures","results ipd plan","results ipd description","Prospective registration","Bridging flag truefalse","Bridged type"
NCT05764876,"27 January 2025","Repurposing Clinically Approved Drugs for Yaws with an Insight Into the Cutaneous Ulcer Disease Syndrome (Trep-AByaws)","Repurposing Clinically Approved Drugs for Yaws with an Insight Into the Cutaneous Ulcer Disease Syndrome (Trep-AByaws)",Trep-AByaws,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",02/02/2023,"  20230202","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT05764876,"Not recruiting",No,"5 Years","18 Years",All,14/03/2023,465,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Investigator). ","Phase 3","Papua New Guinea"," ","Camila Beiras",,,,"Fundació Lluita contra les Infeccions","Inclusion Criteria:<br><br> 1. Participants 5-18 years identified during an active case search program at the<br>   elementary, primary and secondary schools in the Islands Region.<br><br> 2. CUD syndrome suspected due to yaws: one or more ulcerative or nodular or papilloma<br>   skin lesion of more than 1 cm in diameter.<br><br> 3. Positive treponemal (T1) and non-treponemal (T2) serology by Chembio dual path<br>   platform (DPP) syphilis screen & confirm assay (DPP test).<br><br> 4. Accepted and signed informed consent.<br><br> 5. Ability to comply with the requirements of the study protocol including follow up<br>   visits.<br><br>Exclusion Criteria:<br><br> 1. Children younger than 5 years old.<br><br> 2. Clinical late-stage possible yaws: destructive osteitis (rhinopharyngitis gangosa,<br>   sabre shins) or gummous nodules.<br><br> 3. Known allergy to LZD or AZI antibiotics.<br><br> 4. Pregnant or breastfeeding women.<br><br> 5. Refusal at ward level or village chief (for village inclusion), or refusal of<br>   individual or guardian (for individual inclusion).<br><br> 6. Have taken any antibiotics with potential activity against TPE within the last 7<br>   days prior to randomization (i.e., beta lactams, cephalosporines, macrolides,<br>   tetracyclines).<br><br> 7. Uncontrolled hypertension, pheochromocytoma, thyrotoxicosis, carcinoid syndrome,<br>   bipolar disorder, incapacitating psycho-affective disturbance, acute confusional<br>   state.<br><br> 8. Renal function impairment requiring hemodialysis.<br><br> 9. Current treatment with any drugs likely to interact with the study medication<br><br> 10. Symptomatic concomitant infection requiring antibiotic treatment potentially active<br>   against TPE.<br><br> 11. Having received treatment for yaws in the last 6 months.<br><br> 12. Patients who are unable to take oral medication or having a gastrointestinal disease<br>   likely to interfere with drug absorption (including malnutrition and stomach flu).",,"Yaws;Cutaneous Ulcer","Drug: Linezolid Oral Tablet;Drug: Azithromycin Oral Tablet","Clinical resolution;Serological cure;Serological cure;Relapse;Relapse","Lession (ulcer swab) TPE assessment;Oral (oral swab) TPE assessment;Plasma TPE assessment;Allelic variation in recurrent cases;Identification of antibiotic resistance genotype.;Identification of other causes of cutaneous ulcer;Safety of intervention (adverse events)",Trep-AByaws,"Please refer to primary and secondary sponsors","National Department of Health, Papua New Guinea;School of Medicine and Health Sciences, University of Papua New Guinea",,,,,,,,,,,,,,,,,,,Yes,False,"          "
NCT04753788,"25 March 2024","Evaluation of a LAMP Assay for T. Pallidum. Pertenue","Clinical Evaluation of a Loop-mediated Isothermal Amplification Test for Treponema Pallidum Pertenue: A Diagnostic Tool to Support Yaws Eradication",LAMP4YAWS,"London School of Hygiene and Tropical Medicine",09/02/2021,"  20210209","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT04753788,"Not recruiting",No,N/A,N/A,All,15/03/2021,600,Observational,,,"Cameroon;Côte D'Ivoire;Ghana;Cameroon;Côte D'Ivoire;Ghana",,,,,,,"<br>    Inclusion Criteria:<br><br>     - Lesion consistent with yaws<br><br>     - Positive treponemal and non-treponemal antibodies assessed by the DPP Syphilis Screen<br>       and Confirm RDT<br><br>    Exclusion Criteria:<br><br>     - Unable to give consent<br>   ",,Yaws,"Diagnostic Test: PCR;Diagnostic Test: LAMP","Number of cases of yaws confirmed by molecular testing",,LSHTM-21633,"Please refer to primary and secondary sponsors","Pasteur Institute abidjan;Centre Pasteur du Cameroun;Noguchi Memorial Institute for Medical Research;University of Freiburg;MAST Group - Germany;Friedrich-Loeffler-Institut;Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",,,,,,,,,,,,,,,,,,,Yes,False,"          "
NCT04453124,"12 December 2020","An Accessible Low-cost Plant Treatment for Cutaneous Ulcers","An Accessible Low-cost Plant Treatment for Cutaneous Ulcers",,"Oriol Mitja",21/06/2020,"  20200621","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT04453124,"Not recruiting",No,"5 Years","15 Years",All,01/11/2019,150,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Outcomes Assessor). ","Phase 2","Papua New Guinea",,,,,,,"<br>    Inclusion Criteria:<br><br>    -children aged 5 to 15 with parental consent and with one or more skin breaks of any nature<br>    (i.e. Skin cuts, scratch, scrapes or abrasion and mosquito bites) that are less than 1cm in<br>    major diameter. Written informed consent by parent or guardian will be required before<br>    enrolment.<br><br>    Exclusion Criteria::<br><br>     - All participants who have received medical treatment for skin ulcers up to 2 months<br>       prior to recruitment (azithromycin, amoxicillin, benzathine penicillin, etc.).<br><br>     - Patients who require antibiotic treatment for another condition not-related to the<br>       study.<br><br>     - Known history of hypersensitivity, allergic or adverse reaction to the study product.<br><br>     - Patients presenting cutaneous ulcer more than 1cm<br>   ",,"Yaws; Cutaneous;Cutaneous Ulcer;Yaws","Biological: Topical antiseptic treatment","Number of participants with Clinical Healing in each arm;Number of participants with Clinical Healing in each arm","Changes in wound microbiology",SAPKOKOPO,"Please refer to primary and secondary sponsors","The University of Papua New Guinea;The Royal Botanic Gardens, Kew",,,,,,,,,,,,,,,,,Yes,"All individual variables will be available through direct contact with corresponding author",No,False,"          "
NCT03683745,"18 June 2024","Integrated Mapping of Skin-presenting Neglected Tropical Diseases in Liberia","Prevalence Survey for Innovative and Intensified Disease Management (IDM) Neglected Tropical Diseases (NTDs): A Cluster Randomised Two-stage Active Case Search for IDM-NTDs in Liberia",,"London School of Hygiene and Tropical Medicine",19/09/2018,"  20180919","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT03683745,"Not recruiting",No,N/A,N/A,All,14/06/2018,56285,Observational,,,Liberia," ; ","Rachel L Pullan, PhD;Karsor Kollie, MSc",,;,;,"London School of Hygiene and Tropical Medicine;Ministry of Health, Liberia","Inclusion Criteria:<br><br> - Adults over 18 must be willing and able to give informed consent for examination,<br>   and children over 13 years must be willing and able to give informed assent<br><br> - An adult (>18 year of age) parent or guardian must be present at the time of the<br>   examination who can give informed consent for children <18 years to be examined.<br><br>Exclusion Criteria:<br><br> - Individuals for whom no adult parent/guardian is available to provide consent and/or<br>   who are unwilling to provide assent/consent for themselves.",,"Leprosy;Buruli Ulcer;Yaws;Lymphatic Filariases",,"Population prevalence of Lymphatic Filariasis;Population prevalence of Yaws;Population prevalence of Buruli Ulcer","Population prevalence of leprosy;Population prevalence of BU and yaws in children;Population prevalence of category 3 Buruli Ulcer",14698-1,"Please refer to primary and secondary sponsors","AIM Initiative;Ministry of Health, Liberia",,,,,,,,,,,,,,,,,,,No,False,"          "
NCT03676140,"12 December 2020","Safety of Co-administration of IDA and Azithromycin for NTDs ( ComboNTDs )","A Cluster Randomised Trial of the Safety of Co-Administration of IDA (Ivermectin, Diethylcarbamazine and Albendazole) & Azithromycin for Integrated Treatment of Neglected Tropical Diseases",,"Lihir Medical Centre",16/09/2018,"  20180916","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT03676140,"Not recruiting",No,N/A,N/A,All,01/10/2018,20000,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ","Phase 3","Papua New Guinea"," ","Lucy John, MD",,,,"National Department of Health of Papua New Guinea","<br>    Inclusion Criteria:<br><br>     - Able to give consent<br><br>    Exclusion Criteria:<br><br>     - Unable to give consent.<br><br>     - Less than 5 years of age (not eligible for ivermectin)**<br><br>     - Pregnant women (azithromycin only, not eligible for albendazole and ivermectin)<br><br>     - Lactating women (Only administered azithromycin and albendazole, not eligible for<br>       ivermectin)**<br><br>     - History of allergies to the drugs being studied<br><br>     - Residents who cannot swallow tablets<br><br>    Note that patients that are not eligible for a specific drug will receive all other<br>    treatments and will be followed up through the same procedure as the other participants<br>    drug therapy to try to track any AEs attributed to specific drug combinations<br>   ",,"Trachoma;Yaws;Lymphatic Filariases;Scabies;Strongyloidiasis","Drug: Albendazole on Day 1;Drug: Ivermectin on Day 1;Drug: Diethylcarbamazine on day 1;Drug: Azithromycin on Day 1;Drug: Azithromycin on Day 8","Self Reported Adverse Event",,"ComboNTDs - CRT","Please refer to primary and secondary sponsors","London School of Hygiene and Tropical Medicine",,,,,,,,,,,,,,,,,No,,Yes,False,"          "
NCT03664063,"12 December 2020","PK PD Study of IDA and Azithromycin for NTDs ( ComboNTDs )","A Pharmacokinetic and Pharmacodynamic Evaluation of Co-Administration of IDA (Ivermectin, Diethylcarbamazine and Albendazole) & Azithromycin for Integrated Treatment of Neglected Tropical Diseases",,"Lihir Medical Centre",03/09/2018,"  20180903","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT03664063,"Not recruiting",No,"18 Years","65 Years",All,01/09/2018,42,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ","Phase 2","Papua New Guinea",,,,,,,"<br>    Inclusion Criteria:<br><br>     - Adult aged 18-65<br><br>     - Able to give informed consent<br><br>    Exclusion Criteria:<br><br>     - Known chronic illness<br><br>     - Hb <7 at baseline<br><br>     - Liver function or Creatinine * 1.5 Upper Limit of Normal<br><br>     - Urinary tract infection at baseline<br><br>     - Pregnancy (female participants only)<br><br>     - Routine medications which interact with study drugs<br><br>     - Lactose/Gluten intolerance<br><br>     - Permanent disability impeding study participation<br>   ",,"Lymphatic Filariasis;Yaws;Trauma","Drug: Azithromycin;Drug: Albendazole;Drug: Ivermectin;Drug: Diethylcarbamazine","Drug levels of Azithromycin, Ivermectin, Diethylcarbamazine, Albendazole","Number of participants with treatment-related adverse events as assessed by CTCAE v4.0",ComboNTDs-PK,"Please refer to primary and secondary sponsors",,,,,,,,,,,,,,,,,,,,No,False,"          "
NCT03490123,"28 June 2021","Evaluation of an Intensive 3-round MDA Strategy Towards Yaws Eradication","Defining the Best Distribution Strategy of Azithromycin for Yaws Eradication (The Yaws 3 Trial)",,"Lihir Medical Centre",29/03/2018,"  20180329","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT03490123,"Not recruiting",No,"6 Months",N/A,All,16/04/2018,56000,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Outcomes Assessor). ","Phase 4","Papua New Guinea",,,,,,,"<br>    Inclusion Criteria:<br><br>     - all people resident or not in wards in the study region present at time of<br>       implementation or in subsequent surveys<br><br>    Exclusion Criteria:<br><br>     - Children younger than 6 months<br><br>     - Known allergy to macrolide antibiotics<br><br>     - Refusal at village or individual levels<br>   ",,Yaws,"Drug: R1-Total community treatment with azithromycin;Drug: R2-Total community treatment with azithromycin;Drug: R3-Total community treatment with azithromycin;Drug: R2-Total targeted treatment with azithromycin;Drug: R3-Total targeted treatment with azithromycin","Prevalence of active and of latent yaws at 18 months","Appearance of macrolide resistant yaws strains across the study population",Yaws3,"Please refer to primary and secondary sponsors","Barcelona Institute for Global Health;National Department of Health of Papua New Guinea;World Health Organization;University of Masarykova;Harvard School of Public Health",,,,,,,,,,,,,,,,,,,Yes,False,"          "
NCT02775617,"12 December 2020","Azithromycin - Ivermectin Mass Drug Administration for Skin Disease","Impact of Combined Azithromycin and Ivermectin Mass Drug Administration for Yaws and Scabies - Impact on Impetigo and Skin Microbiology",AIM-Skin,"London School of Hygiene and Tropical Medicine",24/02/2016,"  20160224","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT02775617,"Not recruiting",No,N/A,N/A,All,01/07/2016,1291,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ","Phase 4","Solomon Islands"," ","Michael Marks",,,,"London School of Hygiene and Tropical Medicine","<br>    Inclusion Criteria:<br><br>     - All community members are able to be included in the study.<br><br>    Exclusion Criteria:<br><br>     - Allergy to any of the components of the allocated drug regimen<br>   ",,Scabies;Yaws;Impetigo,"Drug: Ivermectin;Drug: Azithromycin;Drug: Permethrin","Impetigo Prevalence at 12 Months","Group A Streptococcus at 12 Months;Antimicrobial Resistance in Culture Isolates",35148A,"Please refer to primary and secondary sponsors","Atoifi Adventist Hospital, Solomon Islands;Kirby Institute;Murdoch Childrens Research Institute",,,,,,,Yes,13/09/2019,https://clinicaltrials.gov/ct2/show/results/NCT02775617,,,,,,,,Undecided,"Anonymised data may be made available",Yes,False,"          "
NCT02344628,"12 December 2020","Comparison of Two Different Doses of Azithromycin for Treatment of Yaws","Randomized Controlled Trial Comparing Efficacy of Single Dose Treatment of Yaws With 20mg/kg Versus 30mg/kg of Azithromycin",,"London School of Hygiene and Tropical Medicine",17/01/2015,"  20150117","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT02344628,"Not recruiting",No,"6 Years","16 Years",Male,01/06/2015,583,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ","Phase 3","Ghana;Papua New Guinea;United Kingdom;Ghana;Papua New Guinea;United Kingdom"," ","David Mabey",,,,"London School of Hygiene and Tropical Medicine","<br>    Inclusion Criteria:<br><br>     - Aged 6 to 16 years<br><br>     - Clinical lesion consistent with primary or secondary yaws -Primary ulcer or papilloma<br><br>     - Dually-Positive Chembio DPP Syphilis Screen & Confirm<br><br>     - Informed Consent and Assent (for children 12-16 years)<br><br>    Exclusion Criteria:<br><br>     1. Known allergy to azithromycin or macrolides.<br><br>     2. Treatment with long-acting penicillin or alternative antibiotic with activity against<br>       T. pallidum within the last 3 months (ceftriaxone, azithromycin or doxycycline,<br>       amoxicillin).<br><br>     3. Patients with current treatment with any drugs likely to interact with the study<br>       medication.<br><br>     4. Patients who are unable to take oral medication or having gastrointestinal disease<br>       likely to interfere with drug absorption.<br><br>     5. Patients who may not be able to comply with the requirements of the study protocol<br>       including follow up visits.<br><br>     6. Patients who are not willing to give informed consent (patient and/or parent/legal<br>       representative), or who withdraw consent.<br>   ",,Yaws,"Drug: Azithromycin","Number of Participants With Clinical and Serological Cure","Number of Participants With Clinical and Serological Cure in Latent Yaws;Number of Participants With Adverse Events",LSHTM-8832,"Please refer to primary and secondary sponsors","World Health Organization;Centers for Disease Control and Prevention;Kwame Nkrumah University of Science and Technology;Barcelona Institute for Global Health;Papua New Guinea Institute of Medical Research;Ghana Health Services;Noguchi Memorial Institute for Medical Research;Papua New Guinea National Department of Health;University of Health and Allied Sciences, Ho, Volta Region, Ghana",,,,,,,Yes,03/10/2018,https://clinicaltrials.gov/ct2/show/results/NCT02344628,,,,,,,,,,Yes,False,"          "
NCT01955252,"16 December 2017","Effect of WHO-yaws Elimination Strategy in Lihir Island, Papua New Guinea","Effect of WHO-yaws Elimination Strategy in Lihir Island, Papua New Guinea",YESA-13,"Lihir Medical Centre",24/09/2013,"  20130924","10/13/2025 16:05:54",ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT01955252,"Not recruiting",No,"2 Months",N/A,All,01/03/2013,16000,Interventional,"Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label). ","Phase 3","Papua New Guinea;Papua New Guinea;Papua New Guinea;Papua New Guinea;Papua New Guinea"," ; ; ; ; ","Oriol Mitja, MD, PhD;Oriol Mitja, MD, PhD;Oriol Mitja, MD, PhD;Oriol Mitja, MD, PhD;Oriol Mitja, MD, PhD",,;;;;,;;;;,"Barcelona Institute for Global Health;Barcelona Institute for Global Health;Barcelona Institute for Global Health;Barcelona Institute for Global Health;Barcelona Institute for Global Health","<br>    Inclusion Criteria:<br><br>     - Whole resident population for MDA and clinical surveys, and children 5-15 years in<br>       sentinel sites for cross-sectional serological surveys.<br><br>    Exclusion Criteria:<br><br>     - Children younger than 2 months and pregnant women;<br><br>     - Known allergy to macrolide antibiotics;<br><br>     - Refusal of individual or guardian (for individual inclusion).<br>   ;<br>    Inclusion Criteria:<br><br>     - Whole resident population for MDA and clinical surveys, and children 5-15 years in<br>       sentinel sites for cross-sectional serological surveys.<br><br>    Exclusion Criteria:<br><br>     - Children younger than 2 months and pregnant women;<br><br>     - Known allergy to macrolide antibiotics;<br><br>     - Refusal of individual or guardian (for individual inclusion).<br>   ;<br>    Inclusion Criteria:<br><br>     - Whole resident population for MDA and clinical surveys, and children 5-15 years in<br>       sentinel sites for cross-sectional serological surveys.<br><br>    Exclusion Criteria:<br><br>     - Children younger than 2 months and pregnant women;<br><br>     - Known allergy to macrolide antibiotics;<br><br>     - Refusal of individual or guardian (for individual inclusion).<br>   ;<br>    Inclusion Criteria:<br><br>     - Whole resident population for MDA and clinical surveys, and children 5-15 years in<br>       sentinel sites for cross-sectional serological surveys.<br><br>    Exclusion Criteria:<br><br>     - Children younger than 2 months and pregnant women;<br><br>     - Known allergy to macrolide antibiotics;<br><br>     - Refusal of individual or guardian (for individual inclusion).<br>   ",,Yaws;Yaws;Yaws;Yaws,"Drug: Azithromycin;Drug: Azithromycin;Drug: Azithromycin;Drug: Azithromycin","Prevalence of yaws latent infection;Prevalence of yaws latent infection;Prevalence of yaws latent infection","Prevalence of active yaws disease;Macrolide resistance;Ulcer aetiology surveys",YESA-13,"Please refer to primary and secondary sponsors","Barcelona Institute for Global Health;National Department of Health of Papua New Guinea;World Health Organization;University of Washington",,,,,,,,,,,,,,,,,,,No,False,"          "
